Km,FinalDePlaca,UnicoDono,AceitaTrocas,ArCondicionado,AirBag,Alarme,TravaEletrica,VidroEletrico,Som,SensorDeRe,CameraDeRe,Blindado,KmPorDias,NumOpcionais,KmSqrt,PotenciaNum,PrecoFipe,DifMarca,DifTipo,DifAno,DifPotencia,DifNumOpcionais,DifCombustivel,DifDirecao,DifUF,PrecoFipeLog,PrecoFipeAjustado,KmSqrtPorDias,UF_AC,UF_AL,UF_AM,UF_AP,UF_BA,UF_CE,UF_DF,UF_ES,UF_GO,UF_MA,UF_MG,UF_MS,UF_MT,UF_PA,UF_PB,UF_PE,UF_PI,UF_PR,UF_RJ,UF_RN,UF_RO,UF_RR,UF_RS,UF_SC,UF_SE,UF_SP,UF_TO,Combustivel_Diesel,Combustivel_Elétrico,Combustivel_Flex,Combustivel_Gasolina,Combustivel_Gás Natural,Combustivel_Híbrido,Combustivel_Álcool,Cambio_Automático,Cambio_Manual,Cambio_Semi-Automático,Direcao_Assistida,Direcao_Elétrica,Direcao_Hidráulica,Direcao_Mecânica,Cor_Amarelo,Cor_Azul,Cor_Branco,Cor_Cinza,Cor_Laranja,Cor_Outra,Cor_Prata,Cor_Preto,Cor_Verde,Cor_Vermelho,Preco
81000,2,1,1,1,1,1,1,1,1,0,0,0,44.28649535265172,6,284.60498941515414,1.0,50402.0,0.014693137444062499,0.018920821941910963,0.010155694445523743,0.02078628785207525,0.016419571121664762,0.016763120556773172,0.021329956439484217,-0.020397386679461203,10.827786135811811,55375.225979756724,0.155606883223157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37900.0
57201,3,1,1,1,1,0,1,1,1,0,0,0,78.03683492496589,5,239.1673054579158,1.6,62045.0,0.017677166281148602,0.014503026935153311,0.005491513144984827,0.015696781172295508,0.02547701996235689,0.016763120556773172,0.021329956439484217,0.016522436546865818,11.03561520720872,70325.58905036862,0.32628554632730666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63390.0
1,0,0,1,1,1,1,1,1,1,1,0,0,0.0002735978112175,7,1.0,1.8,41363.0,0.034010281079366295,0.018920821941910963,0.023771172464587306,0.012537980851622015,0.008845537660484189,0.016763120556773172,0.021329956439484217,0.017580750475193196,10.630142040400989,47722.95922283967,0.00027359781121751026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42900.0
146000,4,0,1,1,1,1,1,1,1,1,1,0,57.03125,8,382.099463490856,2.5,148466.0,0.025139650285062865,0.010804681689887368,0.017364215427830197,0.01868879039576767,0.006772306931705351,0.019795163925504306,0.013335020810247232,0.03946487724408766,11.908111254781456,170938.51254642065,0.14925760292611562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134900.0
0,0,1,1,0,0,1,0,1,0,1,0,0,0.0,3,0.0,1.0,100461.0,0.017677166281148602,0.018920821941910963,0.05767261875431554,0.02078628785207525,0.014147636345288839,0.016763120556773172,0.013335020810247232,0.017580750475193196,11.517524871465124,118230.88555970609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108806.0
22000,5,1,1,1,1,1,1,1,1,1,0,0,30.013642564802183,7,148.32396974191326,3.5,258979.0,0.022954087102731346,0.02583092052391679,0.005491513144984827,0.024447925456725077,0.008845537660484189,0.019795163925504306,0.013335020810247232,0.00826309264388416,12.464502256313345,292377.7764400492,0.2023519368921054,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,264900.0
142558,3,0,0,1,1,1,1,1,1,0,0,0,39.003556771545824,6,377.56853682477305,1.0,23683.0,0.01707434765310784,0.014503026935153311,0.023771172464587306,0.02078628785207525,0.016419571121664762,0.016763120556773172,0.021329956439484217,-0.023120399320272364,10.072512770162733,26229.56392332805,0.10330192525985582,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26200.0
112000,4,0,1,1,1,1,1,1,1,1,0,0,21.8921032056294,7,334.66401061363024,1.4,39725.0,0.019293685283058578,0.018920821941910963,0.010484341557681024,0.012327131636312952,0.008845537660484189,0.016763120556773172,0.013335020810247232,0.026376561889529554,10.589735991404917,44744.103642572496,0.06541517017467362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42899.0
135012,4,0,1,1,1,1,1,1,1,1,1,0,73.81738655002734,8,367.439790986224,2.5,190965.0,0.017677166281148602,0.02583092052391679,0.010155694445523743,0.01868879039576767,0.006772306931705351,0.019795163925504306,0.013335020810247232,0.0044907805450334955,12.159845444163855,213259.3700725048,0.20089655056655223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,220990.0
60850,2,1,1,0,0,0,0,0,0,0,0,0,18.49544072948328,0,246.6779276708802,2.5,63640.0,0.055741076690200245,0.010804681689887368,0.004448098852165955,0.01868879039576767,0.03773591358024618,0.01985003464680027,0.021329956439484217,-0.0007896476536903266,11.060997482451723,74319.35869134445,0.07497809351698487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76999.0
