Modelo,CodModelo,Marca,CodMarca
Fiesta Sedan TITANIUM 1.6 16V Flex Mec,6524,FORD,22
Fiesta SEL 1.0 12V EcoBoost Aut. 5p,8009,FORD,22
Fiesta SEL 1.6 16V Flex  Aut. 5p,7659,FORD,22
Fiesta SEL 1.6 16V Flex Mec. 5p,7660,FORD,22
Fiesta SEL Style 1.0 EcoBoost Aut . 5p,8177,FORD,22
Fiesta SEL Style 1.6 16V Flex Mec. 5p,7754,FORD,22
Fiesta Sport 1.0MPi 4p,790,FORD,22
Fiesta Sport 1.6 16V Flex Mec.,7184,FORD,22
Fiesta Sport 1.6MPi 4p,791,FORD,22
Fiesta Street 1.0 8v 3p,792,FORD,22
Fiesta Street 1.6 8v 95cv 5p,793,FORD,22
Fiesta Street/ Action 1.0 8v 5p,794,FORD,22
Fiesta Supercharger 1.0 8V 95cv 5p,795,FORD,22
Fiesta TIT./TIT.Plus 1.6 16V Flex Aut.,6431,FORD,22
Fiesta TIT.Plus 1.0 12V EcoBoost Aut. 5p,7661,FORD,22
Fiesta TITANIUM 1.6 16V Flex Mec.,6432,FORD,22
Fiesta TRAIL 1.0 8V Flex 5p,4409,FORD,22
Fiesta TRAIL 1.6 8V Flex 5p,4410,FORD,22
Focus 1.6 S/1.6 SE Flex 16v 5p Aut,6610,FORD,22
Focus 1.6 S/SE/SE Plus Flex 8V/16V  5p,796,FORD,22
Focus 1.8 16V 5p,797,FORD,22
Focus 2.0 16V/ 2.0 16V Flex 5p,798,FORD,22
Focus 2.0 16V/SE/SE Plus Flex 5p Aut.,799,FORD,22
Focus Fastback SE/SE PLUS 2.0 Flex Aut.,7284,FORD,22
Focus Fastback TIT./T.PLUS 2.0 Flex Aut.,7285,FORD,22
Focus Ghia  2.0 16V/ 2.0 16V Flex 5p Aut,800,FORD,22
Focus Ghia Sed. 2.0 16V/ 2.0 16V Flex 4p,801,FORD,22
Focus Ghia Sed. 2.0 16V/2.0 16V Flex Aut,802,FORD,22
Focus Ghia/ XR 2.0 /Ghia 2.0 16V Flex 5p,803,FORD,22
Focus Sed. TI./TI.Plus 2.0 16V Flex  Aut,5450,FORD,22
Focus Sedan 1.6 16V Flex 4p Aut.,7687,FORD,22
Focus Sedan 1.6/1.6 Flex 8V/16V 4p Mec.,804,FORD,22
Focus Sedan 1.8 16V 115cv 4p,805,FORD,22
Focus Sedan 2.0 16V/2.0 16V Flex 4p,806,FORD,22
Focus Sedan 2.0 16V/2.0 16V Flex 4p Aut.,807,FORD,22
Focus TITA/TITA Plus 2.0  Flex 5p Aut.,5451,FORD,22
Focus TITANIUM 2.0 16V Flex 5p Mec.,5452,FORD,22
Furglaine 3.6,808,FORD,22
Furglaine 3.9 Diesel,809,FORD,22
Furglaine Chateaux/Exec. 3.9 Diesel,810,FORD,22
Fusion 2.5L I-VCT Flex Aut.,6381,FORD,22
Fusion Hybrid 2.5 16V 193cv Aut.,5414,FORD,22
Fusion SE 2.5 I-VCT Flex 16V Aut.,7826,FORD,22
Fusion SEL 2.0 Ecobo. 16V 248cv Aut.,7755,FORD,22
Fusion SEL 2.3 16V  162cv Aut.,4061,FORD,22
Fusion SEL 2.5 16V 173cv Aut.,4922,FORD,22
Fusion SEL 3.0 V6  24V 243cv Aut.,5622,FORD,22
Fusion SEL 3.0 V6 AWD 24V 243cv Aut.,4923,FORD,22
Fusion Titanium 2.0 GTDI Eco. Awd Aut.,6324,FORD,22
Fusion Titanium 2.0 GTDI Eco. Fwd Aut.,6382,FORD,22
Fusion Titanium Hybrid 2.0 145cv Aut.,6583,FORD,22
Ibiza 3.9 Furgão Diesel,811,FORD,22
Ibiza Chat./Exec. 3.9 Diesel,812,FORD,22
Ka 1.0 8V/1.0 8V ST Flex 3p,4514,FORD,22
Ka 1.0 FREESTYLE 12V Flex 5p Mec.,8744,FORD,22
Ka 1.0 S TiVCT Flex 5p,8149,FORD,22
Ka 1.0 SE/SE Plus TiVCT Flex 5p,6915,FORD,22
Ka 1.0 SEL TiVCT Flex 5p,6914,FORD,22
Ka 1.0 TECNO 12V Flex 5p,8122,FORD,22
Ka 1.0 TECNO 8V Flex 3p,4789,FORD,22
Ka 1.0i 3p,813,FORD,22
Ka 1.5 100 anos Flex 5p Aut.,8745,FORD,22
Ka 1.5 FreeStyle 12V Flex 5p Aut.,8401,FORD,22
Ka 1.5 FreeStyle 12V Flex 5p Mec.,8402,FORD,22
Ka 1.5 SE 12V Flex 5p Aut.,8440,FORD,22
Ka 1.5 SE 12V Flex 5p Mec.,8441,FORD,22
Ka 1.5 SE Plus 12V Flex 5p Aut.,8442,FORD,22
Ka 1.5 SE Plus 12V Flex 5p Mec.,8443,FORD,22
Ka 1.5 SE/SE PLUS 16V Flex 5p,6916,FORD,22
Ka 1.5 Sedan SE 12V Flex 4p Aut.,8444,FORD,22
Ka 1.5 Sedan SE 12V Flex 4p Mec.,8445,FORD,22
Ka 1.5 Sedan SE Plus 12V Flex 4p Aut.,8446,FORD,22
Ka 1.5 Sedan SE Plus 12V Flex 4p Mec.,8447,FORD,22
Ka 1.5 Sedan SEL 12V Flex 4p Aut.,8746,FORD,22
Ka 1.5 Sedan SEL 12V Flex 4p Mec.,8448,FORD,22
Ka 1.5 Sedan TITANIUM 12V Flex 4p Aut.,8403,FORD,22
Ka 1.5 TITANIUM 12V Flex 5p Aut.,8449,FORD,22
Ka 1.6 8V Flex 3p,4515,FORD,22
Ka 1.6 TECNO 8V Flex 3p,4790,FORD,22
Ka Action 1.6 MPI 8V 95cv,814,FORD,22
Ka Black 1.0 MPI 8v 65cv,815,FORD,22
Ka Black 1.6 MPI 8v 95cv,816,FORD,22
Ka CLX 1.3i 3p,817,FORD,22
Ka GL 1.0i Zetec Rocam,818,FORD,22
Ka GL Image 1.0i/ 1.0i Zetec Rocam,819,FORD,22
Ka Image 1.0i,820,FORD,22
Ka MP3 1.0 MPI 8V 65cv,3887,FORD,22
Ka MP3 1.6 MPI 8V 95cv,3888,FORD,22
Ka SEL 1.5 16V Flex 5p,6917,FORD,22
Ka Sport 1.6 8V Flex 3p,5623,FORD,22
Ka Street 1.0i,821,FORD,22
Ka Tecno 1.0i 8v Zetec Rocam,822,FORD,22
Ka TRAIL 1.0 12V Flex Mec. 5p,7905,FORD,22
Ka TRAIL 1.5 16V Flex Mec. 5p,7904,FORD,22
Ka XR 1.6 MPI 8V,823,FORD,22
Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p,6919,FORD,22
Ka+ Sedan 1.0 SEL TiCVT Flex 4p,6918,FORD,22
Ka+ Sedan 1.5 ADVANCED 16V Flex 4p,8123,FORD,22
Ka+ Sedan 1.5 SE/SE PLUS 16V Flex 4p,6920,FORD,22
Ka+ Sedan 1.5 SEL 16V Flex 4p,6921,FORD,22
Maverick Lariat FX4 2.0 EcoBoost Aut.,9744,FORD,22
Mondeo CLX 1.8 4p e 5p,824,FORD,22
Mondeo CLX 1.8i SW,825,FORD,22
Mondeo CLX 2.0i 4p Aut,826,FORD,22
Mondeo CLX 2.0i 4p Mec,827,FORD,22
Mondeo CLX 2.0i SW Aut,828,FORD,22
Mondeo CLX 2.0i SW Mec,829,FORD,22
Mondeo Ghia 2.0 16V 143cv 4p Aut,830,FORD,22
Mondeo Ghia 2.0 16V 143cv 4p Mec,831,FORD,22
Mondeo Ghia 2.5 V6 Aut,832,FORD,22
Mondeo Ghia 2.5 V6 Mec,833,FORD,22
Mondeo GLX 2.0 16V 4p Aut,834,FORD,22
Mondeo GLX 2.0 4p e 5p,835,FORD,22
Mondeo GLX 2.0i SW Mec./ Aut.,836,FORD,22
Mustang 3.8 V6,837,FORD,22
Mustang 3.8 V6 Conv.,838,FORD,22
Mustang Black Shadow 5.0 V8,8987,FORD,22
Mustang Cobra 5.7 V8,839,FORD,22
Mustang GT Premium 5.0 V8,8238,FORD,22
Mustang GT V8,840,FORD,22
Mustang GT V8 Conversível,841,FORD,22
Mustang MACH 1 5.0 V8,9354,FORD,22
Pampa 4x4 Jeep GL / L 1.6,842,FORD,22
Pampa Ghia 1.6/1.8/DUO,843,FORD,22
Pampa GL 1.6/ 1.8,844,FORD,22
Pampa L 1.6,845,FORD,22
Pampa L 1.8i / 1.8,846,FORD,22
Pampa S 1.8,847,FORD,22
Probe 2.0/2.2,848,FORD,22
Probe GT 2.5 V6,849,FORD,22
Ranger 2.5 4x2 CD TB Diesel,850,FORD,22
Ranger 2.5 4x2 CE Diesel,851,FORD,22
Ranger 2.5 4x2 TB Diesel,852,FORD,22
Ranger 2.5 4x4 CD TB Diesel,853,FORD,22
Ranger 2.5 4x4 CE TB Diesel,854,FORD,22
Ranger 2.5 4x4 TB Diesel,855,FORD,22
Ranger 2.5i CD,856,FORD,22
Ranger 2.5i CE,857,FORD,22
Ranger 2.5i CS,858,FORD,22
Ranger Black 2.2 4x2 CD Diesel Aut.,9359,FORD,22
Ranger FX4 3.2 20V 4x4 CD Diesel Aut.,9772,FORD,22
Ranger Limited 2.3 150cv CD,4998,FORD,22
Ranger Limited 2.5 16V 4x2 CD Flex,6163,FORD,22
Ranger Limited 3.0 PSE 4x4 CD TB Diesel,859,FORD,22
Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,6164,FORD,22
Ranger Splash CE,860,FORD,22
Ranger Splash CS,861,FORD,22
Ranger SPORT 2.5 Flex 16V 4x2 CS,6746,FORD,22
Ranger SPORTRAC 2.2 16V 4x4 CD Dies Aut.,8079,FORD,22
Ranger Storm 3.2 20V 4x4 CD Diesel Aut.,9080,FORD,22
Ranger STX 4.0 CS/ CE,862,FORD,22
Ranger TROPICAB 2.5 16V 4X2 Flex,6525,FORD,22
Ranger TROPICAB 3.2 20V 4X4 TB Diesel,6526,FORD,22
Ranger TROPIVAN 2.5 16V 4X2 Flex,6527,FORD,22
Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,6528,FORD,22
Ranger TROPIVAN 3.2 20V 4X4 TB Diesel,6529,FORD,22
Ranger TROPIVAN XLT 2.3 16V 150cv,5365,FORD,22
Ranger TROPIVAN XLT 3.0 PSE 4x2 TB Dies.,5366,FORD,22
Ranger TROPIVAN XLT 3.0 PSE 4x4 TB Dies.,5367,FORD,22
Ranger XL 2.2 4x4 CD Diesel Mec.,7688,FORD,22
Ranger XL 2.2 4x4 CS Diesel Mec.,7882,FORD,22
Ranger XL 2.3 16v 137cv 4x2 CD Repower.,863,FORD,22
Ranger XL 2.3 16v 137cv 4x2 CE Repower.,864,FORD,22
Ranger XL 2.3 16v 137cv 4x2 CS Repower.,865,FORD,22
Ranger XL 2.3 CS,866,FORD,22
Ranger XL 2.8 8v 135cv 4x2 CD TB Diesel,867,FORD,22
Ranger XL 2.8 8v 135cv 4x2 CE TB Diesel,868,FORD,22
Ranger XL 2.8 8v 135cv 4x2 CS TB Diesel,869,FORD,22
Ranger XL 2.8 8v 135cv 4x4 CD TB Diesel,870,FORD,22
Ranger XL 2.8 8v 135cv 4x4 CE TB Diesel,871,FORD,22
Ranger XL 2.8 8v 135cv 4x4 CS TB Diesel,872,FORD,22
Ranger XL 3.0 PSE 163cv 4x2 CD TB Diesel,3814,FORD,22
Ranger XL 3.0 PSE 163cv 4x2 CS TB Diesel,3815,FORD,22
Ranger XL 3.0 PSE 163cv 4x4 CD TB Diesel,3816,FORD,22
Ranger XL 3.0 PSE 163cv 4x4 CS TB Diesel,3817,FORD,22
Ranger XL 4.0 12v V6 210cv 4x2 CS Repow.,873,FORD,22
Ranger XL 4.0 CS,874,FORD,22
Ranger XLS 2.2 4x2 CD Diesel Aut.,8316,FORD,22
Ranger XLS 2.2 4x2 CD Diesel Mec.,8049,FORD,22
Ranger XLS 2.2 4x4 CD Diesel Aut.,7590,FORD,22
Ranger XLS 2.2 4x4 CD Diesel Mec.,6693,FORD,22
Ranger XLS 2.3 16V 145cv/150cv 4x2 CD,875,FORD,22
Ranger XLS 2.3 16V 145cv/150cv 4x2 CS,876,FORD,22
Ranger XLS 2.5 16V 4x2 CD Flex,6165,FORD,22
Ranger XLS 2.5 16V 4x2 CS Flex,6166,FORD,22
Ranger XLS 2.8 8V 135cv 4x2 CD TB Diesel,877,FORD,22
Ranger XLS 2.8 8V 135cv 4x2 CS TB Diesel,878,FORD,22
Ranger XLS 2.8 8V 135cv 4x4 CS TB Diesel,879,FORD,22
Ranger XLS 2.8/2.8 Storm  4x4 CD TB Dies,880,FORD,22
Ranger XLS 3.0 PSE 163cv 4x2 CD TB Dies.,881,FORD,22
Ranger XLS 3.0 PSE 163cv 4x2 CS TB Dies.,882,FORD,22
Ranger XLS 3.0 PSE 163cv 4x4 CD TB Dies.,883,FORD,22
Ranger XLS 3.0 PSE Storm 4x4 CD TB Dies.,4848,FORD,22
Ranger XLS 3.2 20V 4x4 CD Diesel Aut.,6562,FORD,22
Ranger XLS 3.2 20V 4x4 CD Diesel Mec.,6167,FORD,22
Ranger XLS 3.2 20V 4x4 CS Diesel,6168,FORD,22
Ranger XLS SPORT 2.3 16V 150cv CS,4474,FORD,22
Ranger XLT 2.3 16V 150cv CD Repower.,4291,FORD,22
Ranger XLT 2.3 CS,884,FORD,22
Ranger XLT 2.5 16V 4x2 CD Flex,6169,FORD,22
Ranger XLT 2.5 4x2 CD Diesel,885,FORD,22
Ranger XLT 2.5 4x2 CE Diesel,886,FORD,22
Ranger XLT 2.5 4x2 CS Diesel,887,FORD,22
Ranger XLT 2.5 4x4 CD Diesel,888,FORD,22
Ranger XLT 2.5 4x4 CE TB Diesel,889,FORD,22
Ranger XLT 2.5 4x4 CS TB Diesel,890,FORD,22
Ranger XLT 2.8 8v 135cv 4x2 CD TB Diesel,891,FORD,22
Ranger XLT 2.8 8v 135cv 4x4 CD TB Diesel,892,FORD,22
Ranger XLT 2.8 8v 135cv 4x4 CE TB Diesel,893,FORD,22
Ranger XLT 3.0 PSE 163cv 4x2 CD TB Dies.,894,FORD,22
Ranger XLT 3.0 PSE 163cv 4x4 CD TB Dies.,895,FORD,22
Ranger XLT 3.2 20V 4x4 CD Diesel,6170,FORD,22
Ranger XLT 3.2 20V 4x4 CD Diesel Aut.,6171,FORD,22
Ranger XLT 4.0 12v V6 210cv 4x4 CD Repow,896,FORD,22
Ranger XLT 4.0 12v V6 210cv 4x4 CE Repow,897,FORD,22
Ranger XLT 4.0 4x2 CE,898,FORD,22
Ranger XLT 4.0 4x2 CS,899,FORD,22
Ranger XLT 4.0 4x4 CD,900,FORD,22
Ranger XLT 4.0 4x4 CE,901,FORD,22
Ranger XLT 4.0 4x4 CS,902,FORD,22
Ranger XLT Limit./L.Cent. 2.8 CD TB Dies,903,FORD,22
Royale Ghia 2.0/2.0i 2p e 4p,904,FORD,22
Royale GL 1.8/1.8i  2p e 4p,905,FORD,22
Royale GL 2.0/2.0i 2p e 4p,906,FORD,22
Taurus GL 3.0 V6,907,FORD,22
Taurus GL SW 3.0 V6 24V,908,FORD,22
Taurus L/LX 3.0 V6,909,FORD,22
Taurus LX SW 3.0 V6 24V,910,FORD,22
Taurus SHO 3.0 V6,911,FORD,22
TERRITORY SEL 1.5 GTDi EcoBoost Aut.,9163,FORD,22
TERRITORY Titanium 1.5 GTDi EcoBo. Aut.,9164,FORD,22
Thunderbird SC 3.8 V6,912,FORD,22
TRANSIT Chassi 2.2 TDCI Diesel,6202,FORD,22
TRANSIT Chassi 2.4 TDCI Diesel,5247,FORD,22
TRANSIT Furgão 2.0 Curto Turbo Diesel,9839,FORD,22
TRANSIT Furgão 2.0 Longo Turbo Diesel ,9840,FORD,22
TRANSIT Furgão 2.2 TDCI Curto Diesel,6383,FORD,22
TRANSIT Furgão 2.2 TDCI Longa Diesel,6296,FORD,22
TRANSIT Furgão 2.2 TDCI Longo Jumbo Dies,5884,FORD,22
TRANSIT Furgão 3330 2.4 TDCI Curto Dies.,4838,FORD,22
TRANSIT Furgão 3550 2.4 TDCI Longo Dies.,4839,FORD,22
TRANSIT Minibus 15 Lug. 2.0 16V Diesel,9650,FORD,22
TRANSIT Minibus 18 Lug. 2.0 16V Diesel,9651,FORD,22
TRANSIT Minibus Vidrada 2.0 16V Diesel,9652,FORD,22
TRANSIT Van 3550 2.2 TDCI 14/16lug. Dies,6203,FORD,22
TRANSIT Van 3550 2.4 TDCI 14lug. Diesel,4840,FORD,22
Verona Ghia 2.0i 4p,913,FORD,22
Verona GL 1.8i / LX 1.8i 4p,914,FORD,22
Verona GLX 1.8 (Modelo antigo),915,FORD,22
Verona GLX 1.8i / 1.8 4p,916,FORD,22
Verona GLX 2.0i / 2.0 4p,917,FORD,22
Verona LX 1.6 (Modelo antigo),918,FORD,22
Verona LX 1.8 (Modelo antigo),919,FORD,22
Verona S 2.0i 4p,920,FORD,22
Versailles Ghia 2.0i / 2.0 2p e 4p,921,FORD,22
Versailles GL 1.8i / 1.8 2p e 4p,922,FORD,22
Versailles GL 2.0i / 2.0 2p e 4p,923,FORD,22
Windstar GL,924,FORD,22
Windstar LX,925,FORD,22
AUMARK 3.5 - 11DT 2.8 4x2 TB Diesel,7028,FOTON,190
AUMARK 3.5 - 11ST 2.8 4x2 TB Diesel,7029,FOTON,190
AUMARK 3.5 - 14ST 2.8 4x2 TB Diesel,7030,FOTON,190
AUMARK 3.50AK 2.8 4x2 TB Diesel,6348,FOTON,190
MINITRUCK 3.5 11DT 4x2 diesel (E5),8474,FOTON,190
MINITRUCK 3.5 14DT 4x2 Diesel(E5),7924,FOTON,190
MINITRUCK 3.5-12DT 4x2 Diesel(E5),7922,FOTON,190
MINITRUCK 3.5-12ST 4X2 Diesel (E5),8010,FOTON,190
MINITRUCK 3.5-14ST 4x2 Diesel(E5),7923,FOTON,190
Buggy 2000W 1.6 8V,7591,FYBER,170
Buggy 2000W 1.8 8V/ 1.8 8V Flex,5368,FYBER,170
EC7 1.8 16V 130cv 4p Mec.,6778,GEELY,199
GC2 1.0 12V 68cv 5p,7031,GEELY,199
A-10 2.5/4.1,926,GM - CHEVROLET,23
A-10 De Luxe 2.5/4.1,927,GM - CHEVROLET,23
A-20 Custom Std. CD/ De Luxe CD,928,GM - CHEVROLET,23
A-20 Custom/ C-20 Luxe 4.1,929,GM - CHEVROLET,23
A-20 Custom/ C-20 S 4.1,930,GM - CHEVROLET,23
AGILE LT 1.4 MPFI 8V FlexPower 5p,5069,GM - CHEVROLET,23
AGILE LTZ 1.4 MPFI 8V FlexPower 5p,5070,GM - CHEVROLET,23
AGILE LTZ EASYTRONIC 1.4 8V FlexPower 5p,6265,GM - CHEVROLET,23
AGILE LTZ EFFECT 1.4 8V FlexPower 5p Mec,6638,GM - CHEVROLET,23
AGILE LTZ EFFECT EASYTR.1.4 8V FlexP. 5p,6639,GM - CHEVROLET,23
AGILE LTZ WI-FI 1.4 8V FlexPower 5p,5722,GM - CHEVROLET,23
Astra 2.0 8V/ CD 2.0 8V Hatchback 5p Aut,931,GM - CHEVROLET,23
Astra 2.0 8V/ CD 2.0 8V Hatchback 5p Mec,932,GM - CHEVROLET,23
Astra 2.0/ CD 2.0 8V 3p Aut.,933,GM - CHEVROLET,23
Astra 2.0/ CD/ GLS 2.0 MPFI 16V 3p,934,GM - CHEVROLET,23
Astra 2.0/ CD/ Sunny/ GLS 2.0 8V 3p,935,GM - CHEVROLET,23
Astra 500 Sedan 2.0 MPFI 16V 4p,936,GM - CHEVROLET,23
Astra Advant. 2.0 MPFI 8V FlexP. 5p Aut.,4137,GM - CHEVROLET,23
Astra Advantage 2.0 MPFI 8V FlexPower 5p,3968,GM - CHEVROLET,23
Astra Advantage 2.0 MPFI FlexPower 8V 3p,937,GM - CHEVROLET,23
Astra Comfort 2.0 MPFI FlexPower 8V 3p,938,GM - CHEVROLET,23
Astra Comfort 2.0 MPFI FlexPower 8V 5p,939,GM - CHEVROLET,23
Astra Eleg. 2.0 MPFI FlexPower 8V 5p Aut,940,GM - CHEVROLET,23
Astra Elegance 2.0 MPFI FlexPower 8V 3p,941,GM - CHEVROLET,23
Astra Elegance 2.0 MPFI FlexPower 8V 5p,942,GM - CHEVROLET,23
Astra Elite 2.0 MPFI Flex Pow. 8V 5p Aut,943,GM - CHEVROLET,23
Astra Elite 2.0 MPFI FlexPower 8V 5p Mec,944,GM - CHEVROLET,23
Astra GL 1.8 MPFI 3p,945,GM - CHEVROLET,23
Astra GL Milenium 1.8 MPFI 4p,946,GM - CHEVROLET,23
Astra GLS 2.0 MPFI,947,GM - CHEVROLET,23
Astra GLS 2.0 MPFI SW,948,GM - CHEVROLET,23
Astra GSi 2.0 16V 136cv Hatchback 5p,949,GM - CHEVROLET,23
Astra S.Sport 2.0 F.Pow. 5p/Sport 2.0 3p,963,GM - CHEVROLET,23
Astra Sed. Advant. 2.0 8V MPFI FlexP. 4p,3969,GM - CHEVROLET,23
Astra Sed.Advan. 2.0 8V MPFI FlexP. Aut.,4138,GM - CHEVROLET,23
Astra Sed.Comf. 2.0 MPFI FlexPower 8V 4p,950,GM - CHEVROLET,23
Astra Sed.Comf.2.0 MPFI MultiPower 8V 4p,951,GM - CHEVROLET,23
Astra Sed.Eleg. 2.0 MPFI FlexP.8V Aut.,952,GM - CHEVROLET,23
Astra Sed.Eleg.2.0 MPFI FlexPower 8V 4p,953,GM - CHEVROLET,23
Astra Sed.Eleg.2.0 MPFI MultiPower 8V 4p,954,GM - CHEVROLET,23
Astra Sed.Elite 2.0 MPFI FlexP.8V Aut.,955,GM - CHEVROLET,23
Astra Sed.Elite 2.0 MPFI FlexPower 8V 4p,956,GM - CHEVROLET,23
Astra Sedan 1.8 MPFI 8V 4p,9753,GM - CHEVROLET,23
Astra Sedan 2.0/ CD 2.0 MPFI 8V 4p Aut.,958,GM - CHEVROLET,23
Astra Sedan 2.0/CD/ Expres.GLS 2.0 8V 4p,959,GM - CHEVROLET,23
Astra Sedan 2.0/CD/ GLS/ Adv. 2.0 16V 4p,960,GM - CHEVROLET,23
Astra Sedan Comfort 1.8 MPFI 8V 4p,961,GM - CHEVROLET,23
Astra Sedan GL 1.8 MPFI 4p,9629,GM - CHEVROLET,23
Blazer Jimmy 4.3 V6,964,GM - CHEVROLET,23
Blazer S-10 4.3 V6,965,GM - CHEVROLET,23
Blazer SS-10 4.3 V6,966,GM - CHEVROLET,23
BOLT EV Premier 203cv (Elétrico),9042,GM - CHEVROLET,23
Bonanza S / Luxe 4.0 Diesel Turbo,967,GM - CHEVROLET,23
Bonanza S / Luxe 4.1,968,GM - CHEVROLET,23
Brasinca Blazer CD 4.0 Diesel,969,GM - CHEVROLET,23
Brasinca Blazer CD 4.1,970,GM - CHEVROLET,23
C-10 2.5/4.1,971,GM - CHEVROLET,23
C-10 CD 2.5/ 4.1,972,GM - CHEVROLET,23
C-10 De Luxe 2.5/4.1,973,GM - CHEVROLET,23
C-10 De Luxe CD 2.5/ 4.1,974,GM - CHEVROLET,23
C-20 Custom De Luxe 4.1,975,GM - CHEVROLET,23
C-20 Custom De Luxe CD 4.1,976,GM - CHEVROLET,23
C-20 Custom Std. 4.1,977,GM - CHEVROLET,23
C-20 Custom Std. CD 4.1,978,GM - CHEVROLET,23
Calibra 16V,979,GM - CHEVROLET,23
CAMARO FIFTY 6.2 V8 16V 461cv,7790,GM - CHEVROLET,23
Camaro RS 5.0 V8,980,GM - CHEVROLET,23
Camaro Sport 5.0 Conv.,981,GM - CHEVROLET,23
Camaro SS 6.2 V8 16V,5415,GM - CHEVROLET,23
Camaro SS Conversível 6.2 V8 16V,6887,GM - CHEVROLET,23
Camaro Z-28 Targa/Conv. 5.7,982,GM - CHEVROLET,23
Caprice 4.3 V8,983,GM - CHEVROLET,23
Caprice SW 4.3 V8,984,GM - CHEVROLET,23
Caprice Victoria,985,GM - CHEVROLET,23
CAPTIVA SPORT AWD 3.0 V6 24V 268cv,5466,GM - CHEVROLET,23
CAPTIVA SPORT AWD 3.6 V6 24V 261cv 4x4,4734,GM - CHEVROLET,23
CAPTIVA SPORT FWD 2.4 16V 171/185cv,4841,GM - CHEVROLET,23
CAPTIVA SPORT FWD 3.0 V6 24V 268cv 4x2,5467,GM - CHEVROLET,23
CAPTIVA SPORT FWD 3.6 V6 24V 261cv 4x2,4735,GM - CHEVROLET,23
Caravan Comodoro 4.1/2.5,986,GM - CHEVROLET,23
Caravan Diplomata 4.1/2.5,987,GM - CHEVROLET,23
Caravan L/SL/S/SS 2.5/4.1/4.2,988,GM - CHEVROLET,23
Cavalier 3.1 Conv.,989,GM - CHEVROLET,23
Cavalier L 2.0,990,GM - CHEVROLET,23
Celta 1.0/ Super 1.0 MPFI VHC 8v 5p,991,GM - CHEVROLET,23
Celta 1.0/Super/N.Piq.1.0 MPFi VHC 8V 3p,992,GM - CHEVROLET,23
Celta 1.4/ Super/ Energy 1.4 8V 85cv 3p,993,GM - CHEVROLET,23
Celta 1.4/ Super/ Energy 1.4 8V 85cv 5p,994,GM - CHEVROLET,23
Celta ADVANTAGE 1.0 8v FlexPower 5p,6611,GM - CHEVROLET,23
Celta Life 1.0 MPFI VHC 8V 3p,997,GM - CHEVROLET,23
Celta Life 1.0 MPFI VHC 8V 5p,998,GM - CHEVROLET,23
Celta Life 1.4 MPFI 8V 85cv 3p,999,GM - CHEVROLET,23
Celta Life 1.4 MPFI 8V 85cv 5p,1000,GM - CHEVROLET,23
Celta Life/ LS 1.0 MPFI 8V FlexPower 3p,995,GM - CHEVROLET,23
Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,996,GM - CHEVROLET,23
Celta Spirit 1.0 MPFI 8V FlexPower 3p,1001,GM - CHEVROLET,23
Celta Spirit 1.0 MPFI VHC 8V 3p,1003,GM - CHEVROLET,23
Celta Spirit 1.0 MPFI VHC 8V 5p,1004,GM - CHEVROLET,23
Celta Spirit 1.4 MPFI 8V 85cv 3p,1005,GM - CHEVROLET,23
Celta Spirit 1.4 MPFI 8V 85cv 5p,1006,GM - CHEVROLET,23
Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,1002,GM - CHEVROLET,23
Celta Super 1.0 MPFI 8V FlexPower 3p,1007,GM - CHEVROLET,23
Celta Super 1.0 MPFI 8V FlexPower 5p,1008,GM - CHEVROLET,23
Chevette Junior 1.0,1009,GM - CHEVROLET,23
Chevette L / SL / SL/e / DL / SE 1.6,1010,GM - CHEVROLET,23
Chevy 500 DL / SL / SE/ Furgão 1.6,1011,GM - CHEVROLET,23
Cheynne 4.3 V6,1012,GM - CHEVROLET,23
Classic ADVANTAGE 1.0 VHC FlexPower 4p,6747,GM - CHEVROLET,23
Classic Life/LS 1.0 VHC FlexP. 4p,4924,GM - CHEVROLET,23
COBALT 1.8 8V Econo.Flex 4p Aut.,9588,GM - CHEVROLET,23
COBALT ADVANTAGE 1.4 MPFI 8V F.Power 4p,6584,GM - CHEVROLET,23
COBALT ADVANTAGE 1.8 8V Eco.Flex 4p Aut.,6585,GM - CHEVROLET,23
COBALT ELITE 1.8 8V Econo.Flex 4p Aut.,7456,GM - CHEVROLET,23
COBALT Graphite 1.8 8V Econo.Flex 4p Aut,7257,GM - CHEVROLET,23
COBALT Graphite 1.8 8V Econo.Flex 4p Mec,7258,GM - CHEVROLET,23
COBALT LS 1.4 8V FlexPower 4p,5723,GM - CHEVROLET,23
COBALT LT 1.4 8V FlexPower/EconoFlex 4p,5724,GM - CHEVROLET,23
COBALT LT 1.8 8V Econo.Flex 4p Aut.,6172,GM - CHEVROLET,23
COBALT LT 1.8 8V Econo.Flex 4p Mec.,6173,GM - CHEVROLET,23
COBALT LTZ 1.4 8V FlexPower/EconoFlex 4p,5725,GM - CHEVROLET,23
COBALT LTZ 1.8 8V Econo.Flex 4p Aut.,6174,GM - CHEVROLET,23
COBALT LTZ 1.8 8V Econo.Flex 4p Mec.,6175,GM - CHEVROLET,23
